Supplier,rows,missing_rate,dup_rate,neg_qty_rate,bad_rrp_rate,extreme_price_rate,score_completeness,score_uniqueness,score_validity,avg_rrp_std,score_consistency,data_health_score
PROMASIDOR KENYA LIMITED,359,0.0028,0.0223,0.0,0.0028,0.0,0.9972144846796658,0.9777158774373259,0.9972144846796658,11.277307095148672,0.9703769409101299,98.7339
PROPACK KENYA LIMITED,898,0.0,0.0401,0.0,0.0,0.0,1.0,0.9599109131403119,1.0,15.383303351488292,0.950344749436567,98.0525
PWANI OIL PRODUCTS LTD,507,0.0,0.0473,0.0,0.0,0.0,1.0,0.9526627218934911,1.0,116.65166241285247,0.45628020765852906,90.4241
PZ CUSSONS EAST AFRICA LTD,277,0.0,0.0433,0.0,0.0,0.0,1.0,0.9566787003610109,1.0,45.5487776477419,0.8031744844709351,95.748
QSOLS INVESTMENTS,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,32.03900825556248,0.8690854766716629,98.0363
QUICK MART LIMITED,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,34.51055043992585,0.8570274027765123,97.8554
RAA LIMITED,278,0.0,0.0288,0.0,0.0,0.0,1.0,0.9712230215827338,1.0,17.533587266793887,0.9398540191911565,98.2345
RADBONE CLARK KENYA-GUM,555,0.0,0.0288,0.0,0.0,0.0,1.0,0.9711711711711711,1.0,18.672252640418904,0.9342987382399004,98.1496
RADBONE- CLARK KENYA LIMITED,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,64.3962145626589,0.7112222659362557,95.6683
RAZCO LIMITED,142,0.0,0.0986,0.0,0.0,0.0,1.0,0.9014084507042254,1.0,44.50436220278526,0.808269942154077,94.1663
RIVERWEST COMPANY LIMITED,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,104.08870915974653,0.517571906269085,92.7636
ROSAKIND E.A LIMITED,23,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.449136918406825,0.9256297371349774,98.8844
ROSHNI DISTRIBUTORS LTD,146,0.0,0.0274,0.0,0.0,0.0,1.0,0.9726027397260274,1.0,42.343657683148585,0.8188115120808215,96.4603
ROYAL BREKKERS LIMITED,63,0.0,0.0952,0.0,0.0,0.0,1.0,0.9047619047619048,1.0,31.35244054474483,0.8724350792976834,95.2294
ROYAL DAILY PRODUCTS LTD,35,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.784646109921184,0.9483866923703819,99.2258
S.C. JOHNSON & SON LIMITED,177,0.0,0.0226,0.0,0.0,0.0,1.0,0.9774011299435028,1.0,33.31746173302054,0.8628482023899486,97.2648
SAI PHARMACEUTICALS KENYA LIMITED,73,0.0,0.0548,0.0,0.0,0.0,1.0,0.9452054794520548,1.0,29.130452010946435,0.8832756395374511,96.6053
SALIM WAZARAN KENYA CO. LTD,265,0.0038,0.0604,0.0,0.0038,0.0,0.9962264150943396,0.939622641509434,0.9962264150943396,25.36257848813823,0.9016582095995948,96.506
SARAYA KENYA COMPANY LIMITED,7,0.1429,0.0,0.1429,0.0,0.0,0.8571428571428572,1.0,0.8571428571428572,,,
SAVANNAH BRANDS COMPANY LIMITED,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.55094640442907,0.9348905628774736,99.0234
SBC KENYA LTD,380,0.0026,0.0263,0.0,0.0026,0.0,0.9973684210526316,0.9736842105263158,0.9973684210526316,12.128156647765225,0.9662258457582789,98.5592
SESIA LIMITED,31,0.0,0.0645,0.0,0.0,0.0,1.0,0.935483870967742,1.0,54.80258848426627,0.7580273145846566,94.4349
SHALIMAR SPICES  LIMITED,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
SMART BRANDS LIMITED,173,0.0,0.0462,0.0,0.0,0.0,1.0,0.953757225433526,1.0,46.34855799939172,0.7992725439573981,95.6018
SMART GLOBAL LIMITED,21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.30478878328675,0.9409702732606529,99.1146
SOFTCARE KENYA LIMITED,165,0.0,0.0364,0.0,0.0,0.0,1.0,0.9636363636363636,1.0,106.92110516890935,0.5037533113064373,91.4654
SPARKLE BRANDS LTD,33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,137.92596546816353,0.3524878791554057,90.2873
SPICE WORLD LIMITED,59,0.0,0.0339,0.0,0.0,0.0,1.0,0.9661016949152542,1.0,26.104703398961284,0.8980375564419221,97.4536
SUNDRIES BARGAINS NAIROBI LIMITED,141,0.0,0.0142,0.0,0.0,0.0,1.0,0.9858156028368794,1.0,31.846842187268283,0.8700230097901717,97.6248
SUNTORY BEVERAGE & FOOD KENYA LIMITED,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
SUNVEAT FOODS LIMITED,480,0.0,0.05,0.0,0.0,0.0,1.0,0.95,1.0,13.84202468560109,0.9578642860901865,97.868
SUPA SNACKS LIMITED,160,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.737689104846577,0.9291007239393813,98.9365
SUPACOSM PRODUCTS LIMITED,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,44.812148680987676,0.8067683242081753,97.1015
SUPERSLEEK LIMITED,397,0.005,0.0554,0.0,0.005,0.0,0.9949622166246851,0.9445843828715366,0.9949622166246851,55.879430518461405,0.752773655187751,94.3521
SUZNAH QUALITY PRODUCTS,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,34.49973985409165,0.8570801450860158,97.8562
TAIFA IMPORTS LIMITED,24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,64.44901581533097,0.71096466102443,95.6645
TASTE AFRIQUE COMPANY LIMITED.,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
THARAKA HONEY BEE PRODUCTS LIMITED,24,0.0,0.1667,0.0,0.0,0.0,1.0,0.8333333333333334,1.0,55.643690716789166,0.7539237743184606,91.3089
THE PENIEL ACUMEN,67,0.0,0.0597,0.0,0.0,0.0,1.0,0.9402985074626866,1.0,31.355011680204445,0.8724225353315869,96.2953
TOLSTOY TRADING LIMITED,9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.936095107517018,0.9866779295402728,99.8002
TOP FOOD (E.A.) LTD,231,0.0087,0.0433,0.0,0.0087,0.0,0.9913419913419913,0.9567099567099567,0.9913419913419913,16.671967069781413,0.9440576617876136,97.386
TOWFIQ (K) LIMITED,274,0.0,0.0219,0.0,0.0,0.0,1.0,0.9781021897810219,1.0,129.18583915645047,0.3951289028799242,90.27
TRI CLOVERS INDUSTRIES (K) LTD,218,0.0,0.0367,0.0,0.0,0.0,1.0,0.963302752293578,1.0,14.635485427256386,0.9539931774697018,98.209
TROPICAL HEAT LIMITED,1350,0.0015,0.0504,0.0,0.0015,0.0,0.9985185185185185,0.9496296296296296,0.9985185185185185,22.36027521234758,0.9163057422147265,97.152
